x,y,z
0.464138,0.386497,3.00086
0.464138,0.386497,3.00086
0.479352,0.398136,3.00182
0.479352,0.398136,3.00182
0.479352,0.398136,3.00182
0.496849,0.411478,3.00292
0.496849,0.411478,3.00292
0.512746,0.423559,3.0039
0.512746,0.423559,3.0039
0.512746,0.423559,3.0039
0.52897,0.435849,3.00489
0.52897,0.435849,3.00489
0.545523,0.44835,3.00589
0.545523,0.44835,3.00589
0.545523,0.44835,3.00589
0.545523,0.44835,3.00589
0.568828,0.465883,3.00727
0.568828,0.465883,3.00727
0.568828,0.465883,3.00727
0.586176,0.478887,3.00827
0.586176,0.478887,3.00827
0.586176,0.478887,3.00827
0.608336,0.49544,3.00953
0.608336,0.49544,3.00953
0.608336,0.49544,3.00953
0.635633,0.515744,3.01106
0.635633,0.515744,3.01106
0.635633,0.515744,3.01106
0.656614,0.531289,3.01221
0.656614,0.531289,3.01221
0.656614,0.531289,3.01221
0.656614,0.531289,3.01221
0.682856,0.550657,3.01363
0.682856,0.550657,3.01363
0.682856,0.550657,3.01363
0.709763,0.570435,3.01506
0.709763,0.570435,3.01506
0.729753,0.585075,3.01611
0.729753,0.585075,3.01611
0.729753,0.585075,3.01611
0.750099,0.599934,3.01716
0.750099,0.599934,3.01716
0.750099,0.599934,3.01716
0.750099,0.599934,3.01716
0.750099,0.599934,3.01716
0.794536,0.632232,3.01942
0.794536,0.632232,3.01942
0.794536,0.632232,3.01942
0.824163,0.653657,3.02087
0.824163,0.653657,3.02087
0.824163,0.653657,3.02087
0.846142,0.669497,3.02191
0.846142,0.669497,3.02191
0.868488,0.685554,3.02295
0.868488,0.685554,3.02295
0.868488,0.685554,3.02295
0.868488,0.685554,3.02295
0.89694,0.705933,3.02425
0.89694,0.705933,3.02425
0.89694,0.705933,3.02425
0.925975,0.726653,3.02556
0.925975,0.726653,3.02556
0.925975,0.726653,3.02556
0.961591,0.751968,3.02713
0.961591,0.751968,3.02713
0.961591,0.751968,3.02713
0.985805,0.769117,3.02817
0.985805,0.769117,3.02817
1.0104,0.786484,3.02921
1.0104,0.786484,3.02921
1.03537,0.80407,3.03025
1.03537,0.80407,3.03025
1.03537,0.80407,3.03025
1.06073,0.821872,3.03128
1.06073,0.821872,3.03128
1.06073,0.821872,3.03128
1.06073,0.821872,3.03128
1.09948,0.848982,3.03281
1.09948,0.848982,3.03281
1.09948,0.848982,3.03281
1.1258,0.867325,3.03381
1.1258,0.867325,3.03381
1.15586,0.888216,3.03492
1.15586,0.888216,3.03492
1.15586,0.888216,3.03492
1.18642,0.909376,3.03602
1.18642,0.909376,3.03602
1.18642,0.909376,3.03602
1.22094,0.933201,3.03722
1.22094,0.933201,3.03722
1.22094,0.933201,3.03722
1.22094,0.933201,3.03722
1.25606,0.957353,3.0384
1.25606,0.957353,3.0384
1.25606,0.957353,3.0384
1.25606,0.957353,3.0384
1.31351,0.996671,3.04023
